2.000000 1:2.555577 2:0.353928 3:4.609076 4:2.030092 5:3.020764 6:2.333785 7:3.889774 8:1.905939 9:2.001206 10:2.163737 
1.000000 1:-0.189686 2:-0.635417 3:-0.617767 4:0.903183 5:-0.326052 6:-1.019875 7:0.400061 8:0.125475 9:-0.661653 10:1.491068 
2.000000 1:2.090439 2:3.850106 3:3.648903 4:1.424908 5:3.406557 6:1.189559 7:3.665721 8:1.715544 9:1.304914 10:3.570699 
1.000000 1:0.749316 2:-0.500183 3:-1.510252 4:0.033689 5:0.187098 6:-1.393444 7:-0.850793 8:-0.722328 9:0.406562 10:0.218357 
2.000000 1:3.137005 2:3.143508 3:3.298605 4:1.352716 5:4.137637 6:5.007822 7:0.869174 8:1.887804 9:3.369857 10:2.497027 
2.000000 1:3.178366 2:2.165253 3:1.271013 4:2.727358 5:3.325883 6:1.323076 7:2.282542 8:0.799486 9:1.176099 10:3.335858 
1.000000 1:-0.045483 2:-0.253288 3:0.362558 4:1.358441 5:0.555035 6:-0.550772 7:-0.794297 8:0.031544 9:-0.044475 10:0.758564 
0.000000 1:-4.672282 2:-2.668720 3:-3.713316 4:-2.552306 5:-4.374293 6:-2.311256 7:-1.354931 8:-1.663591 9:-2.529707 10:-2.492006 
2.000000 1:4.122074 2:2.209963 3:2.802648 4:1.720645 5:1.577846 6:1.347362 7:2.431117 8:3.769401 9:4.774352 10:1.547363 
2.000000 1:1.599647 2:1.694719 3:3.915993 4:3.807325 5:3.688099 6:2.871687 7:5.110086 8:1.949971 9:4.289306 10:2.266776 
1.000000 1:-0.187987 2:-0.551204 3:-0.773127 4:-1.120479 5:-0.135667 6:0.603094 7:0.183194 8:1.032928 9:-0.962357 10:0.585044 
2.000000 1:3.343780 2:2.487785 3:1.929243 4:2.222014 5:2.392085 6:2.447836 7:1.525805 8:3.733719 9:3.595170 10:3.924918 
2.000000 1:2.426661 2:1.145562 3:1.872794 4:3.455109 5:2.874566 6:2.592273 7:3.883186 8:0.754281 9:3.422745 10:2.755761 
2.000000 1:0.555886 2:1.865112 3:2.745824 4:3.571557 5:1.481952 6:3.437543 7:1.582102 8:2.909487 9:2.869690 10:3.510362 
2.000000 1:1.668500 2:4.019562 3:1.212025 4:4.374122 5:3.157312 6:2.250806 7:2.553483 8:3.569981 9:3.328552 10:1.540029 
1.000000 1:-0.526900 2:-0.984091 3:-1.922290 4:-0.556719 5:-1.266307 6:-0.644361 7:-0.824525 8:0.925613 9:-0.055824 10:0.635773 
1.000000 1:-1.454621 2:0.937006 3:-0.876458 4:-0.481816 5:1.628402 6:0.871128 7:0.310349 8:0.155787 9:-1.349433 10:-0.362892 
1.000000 1:0.329572 2:0.730727 3:0.277633 4:-1.212036 5:0.197552 6:-0.010853 7:0.525582 8:-0.627084 9:-0.740221 10:-0.083930 
1.000000 1:-0.359651 2:-0.207514 3:0.736111 4:-2.845674 5:0.975760 6:-0.373579 7:-0.823901 8:-0.746118 9:0.476559 10:0.871610 
1.000000 1:2.059898 2:1.040407 3:1.008281 4:-1.047831 5:-0.094203 6:1.048678 7:0.744445 8:-0.802719 9:-0.174997 10:-0.471270 
2.000000 1:1.655855 2:3.355381 3:2.266569 4:2.825898 5:2.658203 6:1.578373 7:3.376649 8:2.267859 9:4.107293 10:3.853708 
2.000000 1:0.981973 2:3.068028 3:3.430352 4:1.236112 5:3.472630 6:3.175480 7:3.117889 8:2.801768 9:2.681235 10:1.548274 
2.000000 1:2.749434 2:2.571970 3:3.449085 4:1.320225 5:2.659137 6:0.674396 7:1.693411 8:1.803112 9:2.090920 10:0.644456 
2.000000 1:3.142321 2:4.947071 3:1.496091 4:3.019882 5:3.123541 6:3.996479 7:1.457874 8:3.904140 9:1.472099 10:2.042636 
1.000000 1:-0.775648 2:-0.670558 3:0.727998 4:0.031927 5:1.030008 6:-0.065767 7:-1.800630 8:0.758611 9:0.142220 10:0.178586 
1.000000 1:-0.490308 2:-0.104123 3:0.910341 4:0.130688 5:1.153943 6:0.904198 7:1.506376 8:1.150785 9:1.041975 10:1.051554 
1.000000 1:-0.757522 2:-0.703770 3:-0.854117 4:-0.087179 5:-1.030171 6:-0.302771 7:0.265963 8:0.325931 9:-0.558221 10:-0.045615 
2.000000 1:3.302883 2:3.673583 3:3.944309 4:4.516381 5:2.889753 6:-0.049082 7:2.818432 8:2.105034 9:3.971023 10:1.638140 
1.000000 1:0.904475 2:-1.613196 3:0.457974 4:-0.343379 5:-1.410301 6:-0.031556 7:-1.359336 8:-0.631773 9:0.108533 10:0.050894 
1.000000 1:-0.823245 2:-2.596868 3:-0.429907 4:0.766308 5:1.334137 6:3.826755 7:0.834119 8:-1.233161 9:2.723023 10:1.080758 
1.000000 1:-2.248812 2:1.683256 3:-1.636970 4:0.884179 5:-0.033325 6:2.118172 7:1.539858 8:-0.617731 9:-0.527020 10:0.029039 
2.000000 1:3.025932 2:3.351474 3:1.637221 4:0.654039 5:2.493905 6:3.355702 7:3.220122 8:2.641794 9:3.282296 10:2.352241 
1.000000 1:-0.221987 2:0.073071 3:-0.102118 4:-1.628543 5:0.628295 6:0.264835 7:0.513372 8:-0.236853 9:0.239561 10:-1.592561 
2.000000 1:1.154750 2:3.738265 3:2.209156 4:1.170728 5:3.073558 6:4.641739 7:3.368928 8:1.509022 9:4.441933 10:2.357380 
2.000000 1:1.201553 2:1.466998 3:1.696160 4:1.800813 5:2.682078 6:1.491357 7:2.673981 8:1.366839 9:0.192787 10:1.505285 
1.000000 1:3.971378 2:-0.659109 3:-0.958658 4:-1.077254 5:1.079536 6:-1.090947 7:1.056038 8:0.478163 9:-0.689371 10:0.040953 
2.000000 1:3.769344 2:2.041973 3:4.590104 4:1.352276 5:2.336963 6:2.440053 7:3.702713 8:3.028139 9:3.448193 10:1.028164 
1.000000 1:-1.625946 2:-1.451473 3:0.894867 4:-1.806656 5:0.954976 6:1.240002 7:1.495225 8:-1.211834 9:-0.774030 10:-1.609848 
1.000000 1:-0.712800 2:0.154960 3:-0.307748 4:0.571526 5:2.162025 6:-0.539846 7:0.788468 8:0.268266 9:0.261643 10:0.192153 
2.000000 1:3.031067 2:3.091834 3:2.449595 4:3.342922 5:1.481216 6:2.536676 7:1.443817 8:3.181057 9:3.328626 10:3.520244 
0.000000 1:-2.372094 2:-2.646912 3:-1.771848 4:-2.253018 5:-2.315277 6:-2.136489 7:-2.378099 8:-1.612865 9:-2.678069 10:-1.832416 
2.000000 1:3.880025 2:0.287608 3:1.716975 4:2.761367 5:4.260166 6:1.534557 7:2.327265 8:2.458590 9:1.440548 10:2.816133 
2.000000 1:3.161132 2:3.435224 3:3.249831 4:0.997698 5:2.220084 6:1.255700 7:-0.192452 8:1.670940 9:3.420797 10:4.561189 
1.000000 1:0.093575 2:0.025928 3:-0.205062 4:0.946937 5:-0.778865 6:1.073903 7:1.916305 8:1.791282 9:-0.577335 10:-0.795942 
1.000000 1:2.018138 2:-0.876773 3:-0.159070 4:-0.025049 5:-1.329122 6:-0.296489 7:-2.283299 8:-0.046923 9:-0.262630 10:-2.110964 
2.000000 1:2.567015 2:1.252127 3:2.790734 4:2.400343 5:3.310255 6:1.896246 7:2.118563 8:3.760747 9:3.594301 10:-0.084707 
2.000000 1:1.448961 2:2.251517 3:2.967980 4:2.586230 5:3.526285 6:3.532455 7:2.829915 8:0.778595 9:1.393820 10:2.732379 
1.000000 1:-0.578632 2:1.383465 3:-0.648769 4:-0.533307 5:0.356833 6:-0.029407 7:1.815881 8:-0.121278 9:-0.479170 10:2.348574 
0.000000 1:-3.236930 2:-4.020946 3:0.324933 4:-4.379209 5:-1.355070 6:-3.086165 7:0.004553 8:-3.434893 9:-1.758999 10:-1.900896 
2.000000 1:2.446431 2:2.496076 3:2.878428 4:1.623213 5:2.231552 6:3.621339 7:1.786229 8:1.017316 9:5.829225 10:2.892469 
1.000000 1:0.337197 2:0.200924 3:-0.501740 4:-0.580269 5:-1.570426 6:0.592784 7:-0.022454 8:0.101078 9:0.918650 10:1.230261 
0.000000 1:-3.516387 2:-3.164533 3:-3.814098 4:-1.770844 5:-1.500582 6:-2.104286 7:-2.649757 8:-4.054159 9:-1.061497 10:-2.031364 
1.000000 1:1.763234 2:0.015487 3:-0.322476 4:0.890219 5:-0.038905 6:-1.103544 7:0.874961 8:0.620645 9:-1.048067 10:0.472735 
1.000000 1:1.228709 2:-0.028300 3:0.024574 4:-1.289006 5:-0.362449 6:0.957115 7:-0.474008 8:1.368255 9:-0.298255 10:-0.713317 
1.000000 1:-1.006780 2:0.291749 3:-0.031913 4:-0.729515 5:-1.348035 6:-0.025056 7:-0.695936 8:0.587127 9:-1.354306 10:0.167631 
