2.000000 1:1.260946 2:2.150876 
1.000000 1:0.300697 2:-1.660039 
0.000000 1:-0.455789 2:-2.625519 
2.000000 1:2.961261 2:3.196349 
1.000000 1:-0.148491 2:0.521453 
1.000000 1:-1.137657 2:0.674208 
0.000000 1:-3.019985 2:-4.869148 
0.000000 1:-3.575854 2:-3.024127 
1.000000 1:0.699156 2:0.608794 
0.000000 1:-3.531624 2:-3.374952 
2.000000 1:-1.187367 2:-1.370031 
0.000000 1:-1.376607 2:-2.268002 
1.000000 1:-0.169626 2:-1.248497 
2.000000 1:2.408638 2:2.708823 
2.000000 1:4.061181 2:1.158449 
0.000000 1:-1.901175 2:-4.870184 
2.000000 1:2.877381 2:1.516250 
2.000000 1:3.933167 2:3.801932 
1.000000 1:1.657579 2:-1.115954 
0.000000 1:-1.768132 2:-1.428854 
0.000000 1:-6.450266 2:-2.251427 
2.000000 1:5.755846 2:4.313402 
2.000000 1:3.207267 2:2.161486 
1.000000 1:1.272262 2:-1.354866 
0.000000 1:-5.644336 2:-4.094166 
1.000000 1:1.568227 2:-1.795562 
2.000000 1:4.453004 2:5.259210 
2.000000 1:4.286728 2:1.066119 
1.000000 1:0.667859 2:1.378045 
0.000000 1:-2.163943 2:-2.408566 
1.000000 1:0.629253 2:-1.459437 
1.000000 1:0.721821 2:1.653000 
1.000000 1:0.062280 2:0.965333 
1.000000 1:-3.416011 2:1.236691 
0.000000 1:-1.242504 2:-2.280966 
1.000000 1:-2.767604 2:-1.330814 
2.000000 1:0.771442 2:1.253233 
1.000000 1:-0.722021 2:-0.759989 
0.000000 1:0.395409 2:-2.448198 
1.000000 1:-0.292126 2:0.795649 
2.000000 1:3.712759 2:2.467487 
0.000000 1:-1.693132 2:-1.727799 
2.000000 1:2.296285 2:3.266005 
0.000000 1:-0.333512 2:-4.743934 
2.000000 1:1.938476 2:1.225853 
1.000000 1:-0.288417 2:0.232098 
1.000000 1:1.689848 2:-1.134379 
1.000000 1:2.232019 2:-0.562316 
2.000000 1:1.967494 2:3.980049 
0.000000 1:-4.065536 2:-3.573329 
0.000000 1:-3.218547 2:-2.859379 
1.000000 1:-0.800737 2:2.184675 
0.000000 1:-3.209202 2:-3.024496 
2.000000 1:1.273699 2:1.396151 
1.000000 1:-0.156748 2:-3.472119 
1.000000 1:-1.056947 2:1.394336 
0.000000 1:-2.381101 2:-1.992292 
0.000000 1:-0.921854 2:-0.974121 
1.000000 1:-1.369647 2:1.881558 
1.000000 1:0.662484 2:0.226246 
0.000000 1:-5.991974 2:-2.047028 
1.000000 1:0.941552 2:0.140002 
1.000000 1:-0.496686 2:0.801198 
2.000000 1:0.730111 2:0.826318 
1.000000 1:0.594223 2:-0.456578 
1.000000 1:-1.348006 2:-0.666012 
2.000000 1:0.055103 2:0.594731 
1.000000 1:-0.899960 2:0.631703 
2.000000 1:2.543392 2:1.536070 
1.000000 1:1.259153 2:0.420814 
2.000000 1:1.752564 2:1.840225 
0.000000 1:-3.576417 2:-4.911222 
1.000000 1:-2.107987 2:2.523703 
1.000000 1:-0.881276 2:1.270314 
1.000000 1:1.098879 2:0.131383 
1.000000 1:-0.093050 2:-1.638476 
2.000000 1:4.165670 2:2.789777 
0.000000 1:-0.797970 2:-3.913711 
1.000000 1:1.183771 2:2.920595 
0.000000 1:-2.764641 2:-3.916778 
0.000000 1:-2.279393 2:-0.675171 
0.000000 1:-4.131501 2:-0.844536 
2.000000 1:3.827365 2:0.047135 
0.000000 1:-0.296796 2:-1.578502 
1.000000 1:-1.264038 2:1.713848 
0.000000 1:-2.125831 2:-1.490514 
0.000000 1:-2.008856 2:-0.656525 
1.000000 1:-0.516055 2:-1.265041 
1.000000 1:-1.220225 2:-1.118176 
2.000000 1:0.694956 2:1.456425 
2.000000 1:3.618647 2:3.054707 
