1.000000 1:-0.164887 2:-0.152484 3:-2.312822 4:-1.875728 5:-0.716416 6:0.859239 7:-1.329843 8:-0.622812 9:-0.023179 10:-0.321414 11:0.143230 12:-0.773246 13:-0.258198 14:-1.397723 15:-0.168747 16:0.584514 17:-1.340189 18:1.050230 19:1.415664 20:0.084959 21:0.462524 22:-1.015467 23:-0.221932 24:0.157580 25:-0.172348 
0.000000 1:-4.110721 2:-1.948779 3:-1.291148 4:-4.318406 5:-2.924368 6:-3.045815 7:-1.621566 8:-1.846857 9:-4.121384 10:-1.403382 11:-2.709135 12:-3.125022 13:-4.335827 14:-2.750775 15:-2.717439 16:-2.673426 17:-4.219769 18:-4.827677 19:-3.616596 20:-3.314231 21:-2.823513 22:-3.654945 23:-1.321478 24:-4.433279 25:-1.722333 
2.000000 1:1.902820 2:2.971808 3:2.666120 4:4.420045 5:3.776678 6:4.963142 7:1.457634 8:2.531154 9:2.801136 10:3.473263 11:2.402664 12:3.520428 13:2.599759 14:2.765599 15:2.786309 16:2.874488 17:3.405842 18:2.435582 19:3.153832 20:3.088335 21:3.451547 22:1.978950 23:3.333397 24:2.047386 25:2.948333 
2.000000 1:1.969048 2:3.046506 3:2.544339 4:3.597222 5:1.524716 6:3.221125 7:5.413307 8:0.769651 9:3.452424 10:3.068328 11:2.269287 12:0.501905 13:2.790472 14:1.967293 15:2.123792 16:2.722149 17:1.943207 18:3.268970 19:1.919982 20:3.707574 21:2.397763 22:1.720321 23:2.903036 24:0.101482 25:2.819684 
2.000000 1:1.318176 2:1.723396 3:2.794773 4:3.295955 5:1.704851 6:2.452981 7:1.670694 8:1.852734 9:0.287169 10:0.322527 11:2.462395 12:1.075711 13:3.277296 14:2.300577 15:2.460875 16:3.166991 17:3.636851 18:3.241324 19:2.582846 20:2.319338 21:4.276468 22:4.242323 23:3.916521 24:0.393141 25:1.276812 
1.000000 1:0.132529 2:0.477131 3:0.436810 4:-1.128168 5:-1.185426 6:-1.904815 7:-0.615469 8:-0.689826 9:-1.848268 10:1.141139 11:-0.117817 12:1.830168 13:-0.640895 14:-0.327390 15:0.347169 16:-0.735526 17:-0.956266 18:0.616368 19:0.365242 20:-0.065326 21:-0.989911 22:0.481530 23:1.533863 24:0.656384 25:0.356616 
1.000000 1:0.065106 2:0.638020 3:-0.587845 4:-2.014180 5:-2.519454 6:-0.405943 7:1.514270 8:-1.006275 9:1.430183 10:-0.214033 11:-0.395003 12:2.565079 13:0.467166 14:-1.099110 15:-1.223115 16:1.567378 17:-1.009492 18:-0.350581 19:1.202942 20:1.525517 21:0.005358 22:-1.082755 23:-0.100378 24:-1.442583 25:-0.631430 
1.000000 1:-0.511724 2:2.340693 3:0.249744 4:0.689402 5:1.461326 6:1.026144 7:-0.322414 8:-0.719527 9:0.171772 10:0.543659 11:0.388162 12:-0.505580 13:2.664128 14:-0.958596 15:0.235639 16:-1.445114 17:1.044907 18:0.411315 19:-0.744325 20:1.372728 21:0.350707 22:0.304419 23:-0.127775 24:1.496133 25:-0.101987 
2.000000 1:3.763832 2:5.374139 3:2.539050 4:2.133138 5:1.073286 6:2.568693 7:2.381591 8:3.276365 9:2.463005 10:3.648480 11:2.286283 12:3.803345 13:1.424020 14:1.894540 15:2.312057 16:3.187842 17:0.914973 18:2.406655 19:3.057446 20:2.503937 21:2.567794 22:2.512725 23:0.953596 24:1.373704 25:1.543988 
2.000000 1:4.050002 2:3.099685 3:3.017074 4:2.749172 5:3.945922 6:3.478832 7:2.735545 8:2.351719 9:2.635359 10:1.801014 11:0.307177 12:0.371936 13:3.458793 14:1.213745 15:2.720633 16:3.482958 17:1.706247 18:3.348581 19:1.524409 20:1.741516 21:1.227283 22:3.332813 23:3.393441 24:3.903320 25:2.108126 
1.000000 1:1.285123 2:3.091169 3:1.036374 4:-0.365227 5:-0.010476 6:0.094448 7:0.217448 8:0.150375 9:-1.827511 10:0.369156 11:-0.354387 12:1.794750 13:1.136157 14:1.273652 15:-0.147407 16:-0.763799 17:0.382923 18:1.161295 19:-0.696404 20:-0.514799 21:-0.928813 22:-1.280512 23:-0.883739 24:0.385588 25:0.197979 
1.000000 1:-0.267104 2:-0.173510 3:-0.354346 4:-1.838317 5:2.233324 6:1.634711 7:-0.277840 8:0.549405 9:-1.145492 10:-1.351485 11:1.675186 12:-0.242066 13:0.327748 14:-0.834725 15:-0.659747 16:-1.025944 17:0.330080 18:0.531480 19:-2.362931 20:1.001010 21:0.696080 22:-0.012406 23:-0.634448 24:-0.565776 25:1.100497 
1.000000 1:0.268831 2:0.258342 3:0.548961 4:0.733914 5:0.768682 6:0.886938 7:-1.825601 8:0.969935 9:0.672442 10:1.146724 11:-0.196810 12:0.117835 13:0.192970 14:-0.848718 15:1.114260 16:2.454470 17:2.119049 18:-1.364752 19:0.445625 20:0.415169 21:2.727893 22:2.123329 23:-1.503868 24:-0.261094 25:-0.926506 
2.000000 1:2.036843 2:1.403967 3:2.365206 4:2.733071 5:0.631057 6:2.051121 7:3.112759 8:2.633350 9:2.177333 10:4.334254 11:2.558228 12:3.603928 13:1.042109 14:2.025852 15:2.256295 16:2.313002 17:4.833988 18:3.736667 19:1.906246 20:3.046560 21:3.184886 22:2.386653 23:2.804934 24:1.793142 25:1.858822 
1.000000 1:0.204951 2:2.671101 3:-0.950401 4:-0.970288 5:0.086740 6:0.473463 7:-0.829829 8:-0.483992 9:1.417422 10:-1.376109 11:-0.815518 12:-0.573128 13:-0.157369 14:-0.772011 15:-0.681921 16:-1.485239 17:0.661224 18:-0.415208 19:-0.316377 20:-0.025869 21:-0.063395 22:2.840246 23:0.409697 24:0.240123 25:0.978777 
1.000000 1:-1.193011 2:0.090148 3:1.373569 4:-0.996033 5:-0.054482 6:0.076419 7:-1.197083 8:0.469260 9:-0.648338 10:-2.783941 11:1.505027 12:-1.634808 13:-0.088163 14:-0.368775 15:-0.373434 16:0.190398 17:-0.627044 18:-1.523445 19:-0.645677 20:-1.229383 21:0.146652 22:0.908307 23:0.553948 24:1.313166 25:1.772748 
1.000000 1:0.706807 2:-0.164088 3:0.489719 4:-0.629920 5:0.373037 6:-0.368589 7:0.091750 8:-0.767367 9:-0.251751 10:1.896826 11:1.418681 12:-0.440073 13:-0.361524 14:-1.374621 15:0.310205 16:-1.833187 17:1.963364 18:-0.581291 19:0.734387 20:1.647855 21:1.327478 22:-0.300161 23:-0.324698 24:1.275656 25:0.212950 
2.000000 1:3.773068 2:4.584258 3:0.922256 4:3.509523 5:1.750361 6:2.343186 7:3.642327 8:1.866628 9:0.960959 10:2.868833 11:2.592486 12:3.453346 13:2.285096 14:4.492038 15:4.715818 16:3.091948 17:2.688134 18:3.479390 19:3.696180 20:1.722432 21:2.972595 22:1.817568 23:4.568100 24:2.241798 25:2.817399 
