1.000000 1:2.173080 2:-0.289249 3:-1.112275 4:0.924324 5:0.973655 
2.000000 1:2.767026 2:3.778778 3:2.567999 4:1.707318 5:2.486349 
2.000000 1:4.390243 2:3.475959 3:3.621071 4:2.395986 5:1.443291 
1.000000 1:0.530666 2:-0.909925 3:0.909493 4:0.377527 5:-2.095405 
1.000000 1:0.950932 2:0.445477 3:0.720813 4:0.300441 5:1.079522 
1.000000 1:-1.257529 2:-0.655862 3:1.045729 4:0.472350 5:-0.938802 
0.000000 1:-2.236143 2:-3.956722 3:-2.489086 4:1.026060 5:-2.925482 
2.000000 1:2.208466 2:2.347842 3:3.262426 4:2.478737 5:1.332873 
2.000000 1:2.808697 2:1.568207 3:2.690495 4:3.109824 5:2.848054 
2.000000 1:3.714121 2:1.223187 3:1.811554 4:1.355299 5:1.732285 
1.000000 1:-0.336923 2:0.617113 3:-0.896143 4:1.285822 5:0.075849 
2.000000 1:2.501291 2:4.073344 3:3.876387 4:2.077197 5:3.542554 
0.000000 1:-0.937436 2:-3.399442 3:-3.061559 4:-3.011659 5:-3.888579 
2.000000 1:2.452178 2:4.522112 3:3.425937 4:2.740745 5:2.312701 
1.000000 1:0.234030 2:1.722475 3:0.162471 4:0.273095 5:1.784145 
2.000000 1:3.027090 2:1.523878 3:1.814070 4:1.268358 5:1.001781 
1.000000 1:0.336523 2:0.842388 3:0.775468 4:-1.120068 5:-0.608581 
1.000000 1:0.266161 2:-0.687063 3:0.021753 4:-0.313582 5:1.093581 
1.000000 1:-0.011490 2:-2.303163 3:1.330367 4:0.586304 5:0.674537 
0.000000 1:-4.473666 2:-2.827597 3:-2.173337 4:-3.355697 5:-1.827736 
2.000000 1:2.266234 2:1.232889 3:3.890730 4:3.442437 5:2.989124 
2.000000 1:2.875305 2:2.039418 3:3.097025 4:2.850117 5:3.559149 
1.000000 1:0.231333 2:0.173610 3:0.088281 4:0.775870 5:-1.035833 
1.000000 1:-0.369098 2:-0.394989 3:-0.918864 4:1.337873 5:1.393421 
2.000000 1:4.825274 2:3.400010 3:3.778730 4:2.765183 5:2.416258 
1.000000 1:-0.438417 2:0.061986 3:-0.581418 4:1.003839 5:-0.231697 
1.000000 1:1.580387 2:1.316220 3:0.190934 4:-0.003673 5:0.874437 
2.000000 1:2.722253 2:1.651405 3:2.065995 4:2.457852 5:2.180245 
1.000000 1:-1.788049 2:1.010010 3:-0.515505 4:0.100839 5:-0.855557 
1.000000 1:-1.665707 2:-0.594582 3:-1.064758 4:1.126228 5:0.415337 
2.000000 1:2.377274 2:3.095873 3:3.173191 4:2.172280 5:3.098237 
2.000000 1:2.550338 2:0.731152 3:1.241990 4:2.919609 5:2.450815 
1.000000 1:-0.347718 2:-0.668918 3:-1.168026 4:0.226651 5:-1.322555 
1.000000 1:0.390141 2:-0.712011 3:0.824763 4:0.561714 5:-0.663322 
1.000000 1:-0.776318 2:-0.675311 3:0.602256 4:0.590832 5:-1.726445 
2.000000 1:3.094298 2:0.797522 3:3.642933 4:1.841872 5:2.184648 
0.000000 1:-3.515933 2:-3.960454 3:-2.141737 4:-0.820166 5:-2.978983 
2.000000 1:0.100339 2:1.430525 3:2.189615 4:2.533620 5:0.657630 
1.000000 1:0.197933 2:-0.049143 3:-2.693645 4:-1.223037 5:1.977397 
2.000000 1:2.583573 2:1.990404 3:-0.005455 4:1.611224 5:3.288231 
2.000000 1:1.939031 2:4.585667 3:2.692241 4:1.401520 5:3.053345 
1.000000 1:-0.510048 2:-1.054613 3:-0.975160 4:2.055990 5:-0.862958 
1.000000 1:0.580362 2:-0.729362 3:-0.049704 4:0.868194 5:-0.427709 
0.000000 1:-0.955031 2:-3.213585 3:-1.296389 4:-1.523536 5:-1.753673 
1.000000 1:-1.076228 2:-0.516945 3:-0.539289 4:-1.397908 5:1.764066 
0.000000 1:-1.423219 2:-1.940738 3:-1.067961 4:-4.479874 5:-1.946665 
1.000000 1:0.488545 2:-0.899113 3:0.349836 4:-0.525482 5:-0.166156 
1.000000 1:-0.092002 2:-1.373404 3:-2.152679 4:2.175766 5:-0.404701 
1.000000 1:0.769481 2:0.216329 3:0.282353 4:-0.830898 5:0.337504 
1.000000 1:-1.889257 2:2.452681 3:-0.232039 4:1.082111 5:-0.873530 
1.000000 1:0.314368 2:-0.013975 3:-0.752622 4:1.419859 5:-1.193327 
1.000000 1:-0.700133 2:-1.872403 3:0.124928 4:0.087543 5:1.752107 
2.000000 1:1.473487 2:2.144441 3:2.982363 4:2.997835 5:2.543823 
2.000000 1:2.904177 2:3.270810 3:0.931557 4:1.212347 5:4.645982 
1.000000 1:1.526447 2:-1.219694 3:-0.159139 4:0.304063 5:0.683711 
1.000000 1:-0.690130 2:-0.198201 3:-0.521881 4:0.142168 5:0.403877 
2.000000 1:2.827703 2:1.962096 3:4.051934 4:3.011123 5:2.563990 
1.000000 1:0.459075 2:0.335776 3:-0.421061 4:0.737708 5:-0.036762 
