2.000000 1:1.623857 2:2.253132 
1.000000 1:0.212625 2:-1.173825 
0.000000 1:-1.054525 2:-2.588755 
2.000000 1:2.826161 2:2.992393 
1.000000 1:-0.104999 2:0.368723 
1.000000 1:-0.804445 2:0.476737 
0.000000 1:-2.867685 2:-4.175240 
0.000000 1:-3.260743 2:-2.870613 
1.000000 1:0.494378 2:0.430483 
0.000000 1:-3.229469 2:-3.118684 
2.000000 1:-0.107362 2:-0.236525 
0.000000 1:-1.705641 2:-2.335952 
1.000000 1:-0.119943 2:-0.882821 
2.000000 1:2.435398 2:2.647660 
2.000000 1:3.603922 2:1.551380 
0.000000 1:-2.076567 2:-4.175973 
2.000000 1:2.766848 2:1.804384 
2.000000 1:3.513402 2:3.420605 
1.000000 1:1.172085 2:-0.789098 
0.000000 1:-1.982491 2:-1.742585 
0.000000 1:-5.293260 2:-2.324232 
2.000000 1:4.802231 2:3.782269 
2.000000 1:3.000113 2:2.260634 
1.000000 1:0.899625 2:-0.958035 
0.000000 1:-4.723381 2:-3.627246 
1.000000 1:1.108904 2:-1.269654 
2.000000 1:3.880983 2:4.451056 
2.000000 1:3.763408 2:1.486093 
1.000000 1:0.472248 2:0.974425 
0.000000 1:-2.262371 2:-2.435347 
1.000000 1:0.444949 2:-1.031978 
1.000000 1:0.510404 2:1.168848 
1.000000 1:0.044038 2:0.682593 
1.000000 1:-2.415484 2:0.874472 
0.000000 1:-1.610816 2:-2.345120 
1.000000 1:-1.956991 2:-0.941028 
2.000000 1:1.277725 2:1.618403 
1.000000 1:-0.510546 2:-0.537394 
0.000000 1:-0.452636 2:-2.463370 
1.000000 1:-0.206564 2:0.562609 
2.000000 1:3.357550 2:2.477010 
0.000000 1:-1.929458 2:-1.953971 
2.000000 1:2.355952 2:3.041647 
0.000000 1:-0.968062 2:-4.086701 
2.000000 1:2.102942 2:1.599042 
1.000000 1:-0.203942 2:0.164118 
1.000000 1:1.194903 2:-0.802127 
1.000000 1:1.578276 2:-0.397617 
2.000000 1:2.123461 2:3.546553 
0.000000 1:-3.607001 2:-3.258959 
0.000000 1:-3.008089 2:-2.754119 
1.000000 1:-0.566207 2:1.544798 
0.000000 1:-3.001481 2:-2.870874 
2.000000 1:1.632874 2:1.719461 
1.000000 1:-0.110837 2:-2.455159 
1.000000 1:-0.747374 2:0.985944 
0.000000 1:-2.415926 2:-2.140996 
0.000000 1:-1.384082 2:-1.421040 
1.000000 1:-0.968486 2:1.330462 
1.000000 1:0.468447 2:0.159980 
0.000000 1:-4.969198 2:-2.179700 
1.000000 1:0.665778 2:0.098996 
1.000000 1:-0.351210 2:0.566533 
2.000000 1:1.248500 2:1.316528 
1.000000 1:0.420179 2:-0.322849 
1.000000 1:-0.953184 2:-0.470942 
2.000000 1:0.771197 2:1.152771 
1.000000 1:-0.636368 2:0.446682 
2.000000 1:2.530683 2:1.818399 
1.000000 1:0.890356 2:0.297560 
2.000000 1:1.971483 2:2.033469 
0.000000 1:-3.261142 2:-4.204991 
1.000000 1:-1.490572 2:1.784527 
1.000000 1:-0.623156 2:0.898247 
1.000000 1:0.777025 2:0.092902 
1.000000 1:-0.065796 2:-1.158577 
2.000000 1:3.677807 2:2.704903 
0.000000 1:-1.296483 2:-3.499644 
1.000000 1:0.837053 2:2.065173 
0.000000 1:-2.687130 2:-3.501813 
0.000000 1:-2.344007 2:-1.209651 
0.000000 1:-3.653646 2:-1.329410 
2.000000 1:3.438589 2:0.765563 
0.000000 1:-0.942099 2:-1.848403 
1.000000 1:-0.893810 2:1.211874 
0.000000 1:-2.235423 2:-1.786186 
0.000000 1:-2.152709 2:-1.196466 
1.000000 1:-0.364906 2:-0.894519 
1.000000 1:-0.862830 2:-0.790670 
2.000000 1:1.223641 2:1.762081 
2.000000 1:3.291003 2:2.892237 
2.000000 1:3.899769 2:1.974660 
1.000000 1:-0.093802 2:-0.405352 
1.000000 1:0.729481 2:0.980561 
0.000000 1:-2.448868 2:-1.539236 
2.000000 1:4.051425 2:1.898359 
2.000000 1:3.129110 2:3.001256 
2.000000 1:3.375686 2:2.882233 
2.000000 1:3.261206 2:1.361772 
0.000000 1:-2.702996 2:-2.394066 
0.000000 1:-2.764623 2:-1.061647 
1.000000 1:-0.118414 2:-0.153659 
1.000000 1:1.651619 2:1.127460 
2.000000 1:2.435254 2:1.315202 
