2.000000 1:0.825874 
2.000000 1:0.618269 
2.000000 1:0.607267 
2.000000 1:0.309921 
2.000000 1:-0.506438 
2.000000 1:0.769657 
2.000000 1:-0.096333 
2.000000 1:-1.378871 
2.000000 1:0.670862 
2.000000 1:-0.188733 
2.000000 1:2.361414 
2.000000 1:0.270591 
2.000000 1:-1.285508 
2.000000 1:-0.562928 
2.000000 1:-0.181194 
2.000000 1:-1.055212 
2.000000 1:-1.497525 
2.000000 1:-1.112646 
2.000000 1:-0.384337 
2.000000 1:-0.253888 
2.000000 1:-0.601166 
2.000000 1:0.994556 
2.000000 1:1.629656 
2.000000 1:-0.512751 
2.000000 1:-0.447758 
2.000000 1:0.856603 
2.000000 1:-0.913983 
2.000000 1:1.823746 
2.000000 1:-0.135886 
2.000000 1:-0.024999 
2.000000 1:3.966930 
2.000000 1:0.613815 
2.000000 1:0.663030 
2.000000 1:1.484610 
2.000000 1:0.016636 
2.000000 1:0.229398 
2.000000 1:1.001138 
2.000000 1:0.279387 
2.000000 1:0.661461 
2.000000 1:0.740345 
2.000000 1:1.772715 
2.000000 1:-0.503552 
2.000000 1:2.237125 
2.000000 1:0.328782 
2.000000 1:-0.671463 
2.000000 1:-0.780076 
2.000000 1:-0.510233 
2.000000 1:-0.451389 
2.000000 1:1.802346 
2.000000 1:-0.998046 
2.000000 1:-0.510361 
2.000000 1:-0.017364 
2.000000 1:0.279807 
2.000000 1:-0.368463 
2.000000 1:0.530644 
2.000000 1:-0.057633 
2.000000 1:-0.858473 
2.000000 1:0.554508 
2.000000 1:2.495164 
2.000000 1:-0.246146 
2.000000 1:-0.457661 
2.000000 1:-1.999394 
2.000000 1:1.275245 
2.000000 1:-0.312656 
2.000000 1:2.016394 
2.000000 1:-0.963529 
2.000000 1:0.094296 
2.000000 1:2.231024 
2.000000 1:2.097660 
2.000000 1:-1.340954 
2.000000 1:1.632336 
2.000000 1:-0.799158 
2.000000 1:0.286689 
2.000000 1:0.576567 
2.000000 1:-0.062480 
2.000000 1:0.945551 
2.000000 1:0.942053 
2.000000 1:0.743914 
2.000000 1:-0.136392 
2.000000 1:-0.260449 
2.000000 1:0.846234 
2.000000 1:1.967657 
2.000000 1:0.328949 
2.000000 1:-1.353139 
2.000000 1:1.471399 
2.000000 1:0.429427 
2.000000 1:-0.021639 
2.000000 1:-3.005221 
2.000000 1:-0.615016 
2.000000 1:1.118765 
2.000000 1:-0.331577 
2.000000 1:-0.074036 
2.000000 1:0.314245 
2.000000 1:0.253491 
2.000000 1:0.649170 
2.000000 1:-1.042157 
2.000000 1:-1.133243 
2.000000 1:0.564691 
2.000000 1:1.772773 
2.000000 1:0.037583 
2.000000 1:0.909479 
2.000000 1:-0.797041 
2.000000 1:-0.293373 
2.000000 1:-0.357285 
2.000000 1:1.795691 
2.000000 1:1.489974 
2.000000 1:-0.767037 
2.000000 1:-0.526769 
2.000000 1:-0.378886 
2.000000 1:1.025142 
2.000000 1:-0.279365 
2.000000 1:-0.650325 
2.000000 1:0.778086 
2.000000 1:-0.096737 
2.000000 1:0.763143 
2.000000 1:0.208183 
2.000000 1:0.234689 
2.000000 1:0.330584 
2.000000 1:-1.549598 
2.000000 1:-0.335537 
2.000000 1:1.469028 
2.000000 1:-0.694599 
2.000000 1:-1.307344 
2.000000 1:-1.415669 
2.000000 1:0.336302 
2.000000 1:0.540349 
2.000000 1:0.418179 
2.000000 1:0.956846 
2.000000 1:-0.369959 
2.000000 1:-0.821268 
1.000000 1:1.339498 
2.000000 1:-0.154178 
2.000000 1:0.216577 
2.000000 1:0.521611 
2.000000 1:0.301923 
2.000000 1:0.450096 
2.000000 1:0.819978 
2.000000 1:-1.216271 
2.000000 1:1.049031 
2.000000 1:0.677270 
2.000000 1:0.719577 
2.000000 1:-0.329435 
2.000000 1:0.670392 
2.000000 1:-0.429404 
2.000000 1:-0.403857 
2.000000 1:0.293404 
2.000000 1:1.595692 
2.000000 1:-1.637871 
2.000000 1:0.380808 
2.000000 1:1.441701 
2.000000 1:-0.277288 
2.000000 1:-0.647030 
2.000000 1:0.541157 
2.000000 1:1.221819 
2.000000 1:0.620616 
2.000000 1:0.088970 
2.000000 1:0.669012 
2.000000 1:-1.704782 
2.000000 1:1.221843 
2.000000 1:-0.660187 
2.000000 1:1.357064 
2.000000 1:-1.092248 
2.000000 1:-0.256142 
2.000000 1:0.579345 
2.000000 1:0.275527 
2.000000 1:-0.431998 
2.000000 1:0.064756 
2.000000 1:-0.200309 
2.000000 1:0.285323 
2.000000 1:0.197731 
2.000000 1:-1.082744 
2.000000 1:0.246681 
2.000000 1:1.000926 
2.000000 1:-1.413958 
2.000000 1:-0.724059 
2.000000 1:1.288861 
2.000000 1:0.204457 
2.000000 1:1.498367 
2.000000 1:0.047229 
2.000000 1:0.332837 
2.000000 1:0.245234 
2.000000 1:-0.772784 
2.000000 1:0.778716 
2.000000 1:2.143875 
2.000000 1:0.430723 
2.000000 1:0.258475 
2.000000 1:0.888472 
2.000000 1:-1.004537 
2.000000 1:0.451153 
2.000000 1:-1.415900 
2.000000 1:-1.856839 
2.000000 1:1.534028 
2.000000 1:1.423102 
2.000000 1:-0.411177 
2.000000 1:0.794391 
2.000000 1:-0.060789 
2.000000 1:0.294213 
2.000000 1:0.701211 
2.000000 1:1.356267 
2.000000 1:1.786568 
2.000000 1:-0.444452 
2.000000 1:1.187908 
2.000000 1:-2.012410 
2.000000 1:0.018570 
2.000000 1:0.627363 
2.000000 1:0.916785 
2.000000 1:0.368171 
2.000000 1:-1.091569 
2.000000 1:0.631737 
2.000000 1:0.433636 
2.000000 1:1.194896 
2.000000 1:-0.468304 
2.000000 1:1.204068 
2.000000 1:1.661830 
2.000000 1:1.499321 
2.000000 1:1.390391 
2.000000 1:-1.049192 
2.000000 1:1.823204 
2.000000 1:0.185451 
2.000000 1:1.215100 
2.000000 1:-1.404302 
2.000000 1:0.229963 
2.000000 1:0.557411 
2.000000 1:0.761026 
2.000000 1:0.414244 
2.000000 1:0.631980 
2.000000 1:0.132307 
2.000000 1:0.285054 
2.000000 1:0.560667 
2.000000 1:-0.704365 
2.000000 1:0.335828 
2.000000 1:-0.788284 
2.000000 1:1.716864 
2.000000 1:0.938536 
2.000000 1:-2.385061 
2.000000 1:-0.110993 
2.000000 1:0.404691 
2.000000 1:0.918890 
2.000000 1:1.245295 
2.000000 1:1.773759 
2.000000 1:1.023737 
2.000000 1:-0.916605 
2.000000 1:0.737246 
2.000000 1:2.079876 
2.000000 1:-0.077302 
2.000000 1:1.068091 
2.000000 1:1.031790 
2.000000 1:1.430521 
2.000000 1:-0.405658 
2.000000 1:-0.746442 
2.000000 1:0.408231 
2.000000 1:0.980467 
2.000000 1:-0.272318 
2.000000 1:1.842949 
2.000000 1:-0.376639 
2.000000 1:-0.886373 
2.000000 1:0.020927 
2.000000 1:1.741333 
2.000000 1:1.492349 
2.000000 1:-0.753765 
2.000000 1:1.542525 
2.000000 1:1.281101 
2.000000 1:-0.452437 
2.000000 1:0.900200 
2.000000 1:-0.513612 
2.000000 1:-0.809205 
2.000000 1:1.084397 
2.000000 1:0.938266 
2.000000 1:0.433019 
2.000000 1:1.092826 
2.000000 1:0.521502 
2.000000 1:1.676225 
2.000000 1:0.199389 
2.000000 1:0.017322 
2.000000 1:0.106913 
2.000000 1:0.799656 
2.000000 1:0.911329 
2.000000 1:-1.029652 
2.000000 1:-1.214464 
2.000000 1:0.938519 
2.000000 1:0.707636 
2.000000 1:-0.870066 
2.000000 1:0.095148 
2.000000 1:-0.819331 
2.000000 1:-0.942194 
2.000000 1:-0.097449 
2.000000 1:1.352462 
2.000000 1:0.041967 
2.000000 1:-0.202574 
2.000000 1:0.578556 
2.000000 1:-0.405907 
2.000000 1:0.228043 
2.000000 1:-3.147481 
2.000000 1:-1.184749 
2.000000 1:0.527356 
2.000000 1:0.752900 
2.000000 1:0.183517 
2.000000 1:1.281915 
2.000000 1:-0.243797 
2.000000 1:-0.513121 
2.000000 1:-1.195673 
2.000000 1:-0.484030 
2.000000 1:0.221067 
2.000000 1:-0.820012 
